name,latitude,longitude,category,description,place_id,price_egp
Persou II,25.9896679,33.5691741,historical,Persou II is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1,
Taha Hussien statue,28.1025353,30.756442,cultural,"The statue of Taha Hussein, Egypt's iconic writer and intellectual known as the 'Dean of Arabic Literature,' commemorates one of the most influential figures in modern Arabic culture. Born blind in 1889, Taha Hussein overcame extraordinary obstacles to become Egypt's Minister of Education and a champion of free public education. His works including 'An Egyptian Childhood' remain classics of world literature.",6,
The Scroll,28.1043969,30.7553237,cultural,"The Scroll is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",7,
Horus sculpture,28.1142241,30.7499796,cultural,"Horus sculpture is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",8,
Fraser Tombs,28.1621148,30.7769237,historical,"The Fraser Tombs at Tihna el-Gebel in Minya governorate are a group of Old Kingdom rock-cut tombs dating to the 6th Dynasty, named after the 19th-century explorer who first documented them. The tombs contain well-preserved painted reliefs depicting daily life, agricultural scenes, and offering rituals. The site offers a relatively undiscovered window into provincial elite culture of ancient Egypt.",12,
Tihna El-Gebel,28.182739,30.7754992,historical,"Tihna el-Gebel (ancient Akoris) in Minya is an important archaeological site spanning multiple periods from the Old Kingdom through the Roman era. The site includes rock-cut tombs, a Ptolemaic temple to Thoth, and evidence of ancient quarrying activities. Its cliff-face contains hieroglyphic inscriptions recording royal expeditions and administrative activities.",13,
Aqabat,27.4735558,28.259682,other,"Aqabat is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",16,
Badra Valley,27.3343398,28.1877849,other,"Badra Valley is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",17,
White Desert,27.3528126,28.1707532,other,"The White Desert National Park in Egypt's Western Desert is one of the world's most otherworldly natural landscapes. Shaped by millennia of wind erosion, enormous chalk formations rise from the sandy floor in surreal shapes resembling mushrooms, icebergs, and animals. The park, located near Farafra Oasis, is most magical at sunrise and sunset when the white rocks glow gold and pink.",18,
The Mushrooms (Aish el-Ghorab),27.3569797,28.1705013,other,"The Mushrooms (Aish el-Ghorab) is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",20,
White Rabbit,27.2647752,28.1995507,other,"White Rabbit is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",21,
Rock Mushroom,27.2776046,28.2004509,other,"Rock Mushroom is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",22,
Wonderfull area with white rocks,27.2810611,28.1918618,other,"Wonderfull area with white rocks is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",23,
Agabat valley (limestone shrooms),27.4697656,28.4359003,other,"Agabat valley (limestone shrooms) is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",24,
Flower,28.4070315,35.0021796,cultural,"Flower is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",28,
Flower,28.4064965,35.0024814,cultural,"Flower is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",29,
Flower,28.4061874,35.0020489,cultural,"Flower is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",30,
Flower,28.4066947,35.0018011,cultural,"Flower is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",31,
Flower,28.4066565,35.0022047,cultural,"Flower is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",32,
Flower,28.4066704,35.002038,cultural,"Flower is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",33,
Flower,28.4065753,35.0020177,cultural,"Flower is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",34,
Flower,28.4065337,35.0021867,cultural,"Flower is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",35,
Neptuna,23.6186333,36.2037666,other,"Neptuna is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",44,
Khanka,23.6166601,36.2047145,other,"Khanka is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",45,
