الاسم,خط العرض,خط الطول,التصنيف,الوصف,معرف المكان,سعر الدخول (جنيه)
Persou II,25.9896679,33.5691741,تاريخي,Persou II is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,1,
Taha Hussien statue,28.1025353,30.756442,ثقافي,"The statue of Taha Hussein, Egypt's iconic writer and intellectual known as the 'Dean of Arabic Literature,' commemorates one of the most influential figures in modern Arabic culture. Born blind in 1889, Taha Hussein overcame extraordinary obstacles to become Egypt's Minister of Education and a champion of free public education. His works including 'An Egyptian Childhood' remain classics of world literature.",6,
The Scroll,28.1043969,30.7553237,ثقافي,"The Scroll is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",7,
Horus sculpture,28.1142241,30.7499796,ثقافي,"Horus sculpture is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",8,
Fraser Tombs,28.1621148,30.7769237,تاريخي,"The Fraser Tombs at Tihna el-Gebel in Minya governorate are a group of Old Kingdom rock-cut tombs dating to the 6th Dynasty, named after the 19th-century explorer who first documented them. The tombs contain well-preserved painted reliefs depicting daily life, agricultural scenes, and offering rituals. The site offers a relatively undiscovered window into provincial elite culture of ancient Egypt.",12,
Tihna El-Gebel,28.182739,30.7754992,تاريخي,"Tihna el-Gebel (ancient Akoris) in Minya is an important archaeological site spanning multiple periods from the Old Kingdom through the Roman era. The site includes rock-cut tombs, a Ptolemaic temple to Thoth, and evidence of ancient quarrying activities. Its cliff-face contains hieroglyphic inscriptions recording royal expeditions and administrative activities.",13,
Aqabat,27.4735558,28.259682,أخرى,"Aqabat is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",16,
Badra Valley,27.3343398,28.1877849,أخرى,"Badra Valley is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",17,
White Desert,27.3528126,28.1707532,أخرى,"The White Desert National Park in Egypt's Western Desert is one of the world's most otherworldly natural landscapes. Shaped by millennia of wind erosion, enormous chalk formations rise from the sandy floor in surreal shapes resembling mushrooms, icebergs, and animals. The park, located near Farafra Oasis, is most magical at sunrise and sunset when the white rocks glow gold and pink.",18,
The Mushrooms (Aish el-Ghorab),27.3569797,28.1705013,أخرى,"The Mushrooms (Aish el-Ghorab) is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",20,
White Rabbit,27.2647752,28.1995507,أخرى,"White Rabbit is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",21,
Rock Mushroom,27.2776046,28.2004509,أخرى,"Rock Mushroom is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",22,
Wonderfull area with white rocks,27.2810611,28.1918618,أخرى,"Wonderfull area with white rocks is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",23,
Agabat valley (limestone shrooms),27.4697656,28.4359003,أخرى,"Agabat valley (limestone shrooms) is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",24,
Flower,28.4070315,35.0021796,ثقافي,"Flower is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",28,
Flower,28.4064965,35.0024814,ثقافي,"Flower is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",29,
Flower,28.4061874,35.0020489,ثقافي,"Flower is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",30,
Flower,28.4066947,35.0018011,ثقافي,"Flower is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",31,
Flower,28.4066565,35.0022047,ثقافي,"Flower is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",32,
Flower,28.4066704,35.002038,ثقافي,"Flower is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",33,
Flower,28.4065753,35.0020177,ثقافي,"Flower is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",34,
Flower,28.4065337,35.0021867,ثقافي,"Flower is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",35,
Neptuna,23.6186333,36.2037666,أخرى,"Neptuna is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",44,
Khanka,23.6166601,36.2047145,أخرى,"Khanka is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",45,
قلعة الجندي,29.8514696,33.1304623,أخرى,"قلعة الجندي is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",46,
St. Antony's cave,28.9114738,32.3545669,أخرى,"St. Antony's cave is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",47,
متحف جاير أندرسون,30.0283804,31.2507258,ثقافي,متحف جاير أندرسون في القاهرة الإسلامية يتكوّن من منزلين تاريخيين من القرن السابع عشر يصوّران الحياة المنزلية في مصر الإسلامية. جمعه المقدم البريطاني جاير أندرسون ويحتوي على أثاث وتحف إسلامية وأسلحة وعملات نفيسة. يُعدّ نموذجاً استثنائياً للعمارة المنزلية المملوكية المحفوظة.,51,80.0
سي أف سي سي,30.0839215,31.3330909,أخرى,"سي أف سي سي is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",52,
مسلة المطرية,30.1294036,31.3074812,ثقافي,"مسلة المطرية is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",58,
المتخف الجيولوجي المصري,29.9961855,31.2287249,ثقافي,"المتخف الجيولوجي المصري is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",65,
falluka rides,29.9569275,31.2505059,أخرى,"falluka rides is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",66,
طلعت حرب,30.0476098,31.2384944,ثقافي,تمثال طلعت حرب يحتفي بمؤسس بنك مصر عام 1920 ورائد الاقتصاد الوطني المصري. ناضل من أجل إنشاء صناعة وطنية مستقلة في مواجهة الهيمنة الاقتصادية الأجنبية. يقف التمثال في الميدان المسمى باسمه في وسط القاهرة التجاري.,68,
Imhotep Temple,29.8692525,31.2173005,تاريخي,"The Imhotep Museum at Saqqara celebrates the genius of Imhotep, the architect of the first pyramid and later deified as a god of medicine. Built near the Step Pyramid complex, it houses remarkable artifacts discovered at Saqqara including gilded mummy masks, canopic jars, and ancient papyri. The museum offers essential context for understanding this pivotal site of Egypt's funerary heritage.",70,180.0
Serapheum,29.8760471,31.2100388,أخرى,"Serapheum is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",71,
Rokn Farouk,29.8470384,31.2948309,ثقافي,"Rokn Farouk is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",75,
Wax museum,29.8601958,31.3257085,ثقافي,"Cairo's Wax Museum features life-size wax figures of prominent Egyptian historical and cultural figures including pharaohs, political leaders, artists, and sports personalities. Located in the entertainment district, it offers an interactive way to engage with Egypt's diverse heritage from ancient to modern times.",76,80.0
متحف أم كلثوم,30.0076221,31.2248842,ثقافي,متحف أم كلثوم في جزيرة الروضة بالقاهرة يحتفي بحياة كوكب الشرق أعظم مطربة في تاريخ الموسيقى العربية. يعرض ملابسها الشخصية ونظاراتها الشهيرة وصور نادرة وتسجيلات موسيقية من مسيرتها الممتدة عبر أربعة عقود. يقدم المتحف صورة حية عن الثقافة المصرية الشعبية في القرن العشرين.,77,40.0
أهرام أبو صير,29.8960933,31.2055264,تاريخي,أهرام أبو صير is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,81,
